task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,10,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,20,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,30,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,50,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,80,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,110,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,150,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,constant,constant,constant,200,0,0,42,10,5,50,0.875,0.0,0.4666666666666666,5.607473066727768e-17,0.5,0.0,
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,10,784,32,42,10,5,50,0.95025,0.0424513602219514,0.9062004776378726,0.06436283280888183,0.95268,0.02706952361429189,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,20,784,32,42,10,5,50,0.9717975000000001,0.017827938440285577,0.9415182819676079,0.03289965381827615,0.9715842857142856,0.012918405148734066,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,30,784,32,42,10,5,50,0.9752649999999998,0.01608231060158068,0.9480283436574701,0.030416206511959105,0.9737285714285714,0.013302021403821996,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,50,784,32,42,10,5,50,0.9805275,0.012921201776814056,0.958380911202161,0.025018960937929186,0.9790671428571427,0.010507632041142138,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,80,784,32,42,10,5,50,0.9822624999999999,0.012580715167773775,0.9620753543886525,0.024059334187271648,0.9823471428571429,0.009695037631982038,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,110,784,32,42,10,5,50,0.985445,0.007931312267570502,0.9682308477828007,0.016269732071526467,0.9848600000000002,0.0076247771217110676,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,150,784,32,42,10,5,50,0.98728,0.00643127720834767,0.9720297077760114,0.01336237968639253,0.9863542857142857,0.0059819066356041105,1.0
ankle_boot_vs_non_footwear,cross_pooled,pixels,pixels,pixels,200,784,32,42,10,5,50,0.9883874999999999,0.005539644342263816,0.9743622879017737,0.011685673291373166,0.9877671428571427,0.005519999041763916,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv1,random,conv1,10,3136,32,42,10,5,50,0.9677925,0.02207517897516834,0.9344101864632093,0.04000188697516428,0.9675899999999998,0.017425385707507124,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv1,random,conv1,20,3136,32,42,10,5,50,0.9785825,0.01374505036144923,0.9547611093982895,0.026065972016736185,0.9790014285714287,0.01040901847226809,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv1,random,conv1,30,3136,32,42,10,5,50,0.9825325,0.011295170371645123,0.9626144074108589,0.022257533967526527,0.9830671428571429,0.007514561873451952,1.0
