source_seed,repeat,sampling_seed,projection_seed,task,task_category,sample_size,condition,family,layer,training_class_counts,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_class_counts,test_accuracy,test_macro_f1,test_balanced_accuracy,test_per_class_f1,test_confusion_matrix
42,1,42,0,footwear_three_way,within_footwear,10,constant,constant,constant,"[4, 3, 3]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.5, 0.0, 0.0]","[[1000, 0, 0], [1000, 0, 0], [1000, 0, 0]]"
42,1,42,0,footwear_three_way,within_footwear,10,pixels,pixels,pixels,"[4, 3, 3]",784,32,0.1,0.79,0.7873585132547843,3000,"[1000, 1000, 1000]",0.7896666666666666,0.7867554279643745,0.7896666666666667,"[0.7611417125688533, 0.7340823970037453, 0.8650421743205249]","[[760, 150, 90], [193, 686, 121], [44, 33, 923]]"
42,1,42,0,footwear_three_way,within_footwear,10,random_conv1,random,conv1,"[4, 3, 3]",3136,32,0.1,0.775,0.7744370155256898,3000,"[1000, 1000, 1000]",0.7653333333333333,0.7642494788552042,0.7653333333333334,"[0.7146583202921231, 0.7796442687747036, 0.7984458474987858]","[[685, 184, 131], [105, 789, 106], [127, 51, 822]]"
42,1,42,0,footwear_three_way,within_footwear,10,fine_conv1,fine,conv1,"[4, 3, 3]",3136,32,1.0,0.6733333333333333,0.6730018185556322,3000,"[1000, 1000, 1000]",0.6636666666666666,0.662890889946567,0.6636666666666666,"[0.6034739454094293, 0.7224080267558528, 0.6627906976744186]","[[608, 252, 140], [119, 756, 125], [288, 85, 627]]"
42,1,42,0,footwear_three_way,within_footwear,10,coarse_conv1,coarse,conv1,"[4, 3, 3]",3136,32,0.1,0.7766666666666666,0.7744288406641973,3000,"[1000, 1000, 1000]",0.7776666666666666,0.7739309095481776,0.7776666666666667,"[0.7029478458049887, 0.7822878228782287, 0.8365570599613152]","[[620, 268, 112], [61, 848, 91], [83, 52, 865]]"
42,1,42,0,footwear_three_way,within_footwear,10,random_conv2,random,conv2,"[4, 3, 3]",1568,32,0.1,0.7666666666666667,0.7664534050226276,3000,"[1000, 1000, 1000]",0.746,0.7445898709097917,0.746,"[0.6870712401055409, 0.7809239940387481, 0.765774378585086]","[[651, 186, 163], [86, 786, 128], [158, 41, 801]]"
42,1,42,0,footwear_three_way,within_footwear,10,fine_conv2,fine,conv2,"[4, 3, 3]",1568,32,1.0,0.7633333333333333,0.763284229149777,3000,"[1000, 1000, 1000]",0.7566666666666667,0.756623621861884,0.7566666666666667,"[0.7278724573941726, 0.7377495462794919, 0.8042488619119879]","[[662, 266, 72], [77, 813, 110], [80, 125, 795]]"
42,1,42,0,footwear_three_way,within_footwear,10,coarse_conv2,coarse,conv2,"[4, 3, 3]",1568,32,0.1,0.72,0.7161824528726953,3000,"[1000, 1000, 1000]",0.714,0.7083383896645415,0.714,"[0.6240266963292548, 0.7111334002006018, 0.7898550724637681]","[[561, 271, 168], [123, 709, 168], [114, 14, 872]]"
42,1,42,0,footwear_three_way,within_footwear,10,random_fc,random,fc,"[4, 3, 3]",128,32,0.1,0.7933333333333333,0.793153954656365,3000,"[1000, 1000, 1000]",0.774,0.7728673416621863,0.774,"[0.729264475743349, 0.7678571428571429, 0.8214804063860668]","[[699, 175, 126], [134, 774, 92], [84, 67, 849]]"
42,1,42,0,footwear_three_way,within_footwear,10,fine_fc,fine,fc,"[4, 3, 3]",128,32,0.1,0.9383333333333334,0.9385856328099411,3000,"[1000, 1000, 1000]",0.9363333333333334,0.9365732282312242,0.9363333333333334,"[0.9505154639175257, 0.9323985978968453, 0.926805622879302]","[[922, 30, 48], [10, 931, 59], [8, 36, 956]]"
