task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,10,3136,32,42,10,5,50,0.0035299999999999997,0.01114670721032238,0.006790573134049076,0.019743376444777676,0.004014285714285708,0.011005668525437015
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,20,3136,32,42,10,5,50,0.0016074999999999996,0.009965470039704348,0.00321803353180933,0.0194276367838313,0.0024357142857142924,0.008761251467701403
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,30,3136,32,42,10,5,50,0.0006750000000000034,0.008110249562077836,0.0014648963814914361,0.01610365456400489,0.0007285714285714273,0.0062321298044255066
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,50,3136,32,42,10,5,50,0.0007549999999999968,0.005995425552120589,0.0016689151510194944,0.012192396162971774,0.0009800000000000008,0.004272770541068915
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,80,3136,32,42,10,5,50,0.0012399999999999967,0.0038847261085918896,0.0026163892211033633,0.007874386766197847,0.000999999999999983,0.0028860418946328615
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,110,3136,32,42,10,5,50,0.0008925000000000028,0.0032356443149167457,0.0019244541474141808,0.006873690930135968,0.0004928571428571282,0.0025352266192253618
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,150,3136,32,42,10,5,50,0.0013949999999999906,0.0023987613725522878,0.003049731204907065,0.005189529445202276,0.001097142857142861,0.002016578518501776
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv1,200,3136,32,42,10,5,50,0.0011424999999999975,0.0017139155106221046,0.002517681430254597,0.003746005566935821,0.0009528571428571463,0.0013859239118891088
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,10,1568,32,42,10,5,50,0.0301825,0.04104481443607507,0.05055093654802089,0.06036435153255502,0.0259557142857143,0.031248259893243414
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,20,1568,32,42,10,5,50,0.017482499999999998,0.02794505370876418,0.03281363853018896,0.04964103724726141,0.014344285714285707,0.01906266486058123
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,30,1568,32,42,10,5,50,0.010642500000000004,0.02009872016562046,0.02144321491715164,0.03920679797787974,0.01095857142857143,0.013564345934584155
