source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,1,42,0,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.10166666666666668,-0.10135858890863725,-0.1016666666666668
42,1,42,0,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.012333333333333307,0.009681430692973336,0.012333333333333307
42,1,42,0,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.010666666666666713,0.012033750952092359,0.010666666666666713
42,1,42,0,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.03200000000000003,-0.03625148124525013,-0.03200000000000003
42,1,42,0,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.16233333333333333,0.16370588656903795,0.16233333333333333
42,1,42,0,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.242,-0.24854000186355563,-0.242
42,1,42,1,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.07233333333333336,-0.07368189202072495,-0.07233333333333314
42,1,42,1,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.029333333333333322,-0.02708321692663196,-0.029333333333333322
42,1,42,1,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.03533333333333333,-0.034980483909549664,-0.03533333333333322
42,1,42,1,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.01733333333333331,-0.020844144838211953,-0.01733333333333331
42,1,42,1,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.19066666666666665,0.19239466616915324,0.19066666666666654
42,1,42,1,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.20866666666666667,-0.20255639870871656,-0.20866666666666678
42,1,42,2,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.06299999999999994,-0.0745290485486475,-0.06300000000000006
42,1,42,2,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.008000000000000007,0.011414129618416924,0.008000000000000007
42,1,42,2,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.04600000000000004,0.040078984505924176,0.04600000000000004
42,1,42,2,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,0.04466666666666663,0.03906222736581766,0.04466666666666663
42,1,42,2,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.18799999999999994,0.18904773428822808,0.18800000000000006
42,1,42,2,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.18666666666666676,-0.1810903078930618,-0.18666666666666654
42,1,42,3,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.014333333333333309,-0.015595575898966763,-0.014333333333333309
42,1,42,3,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.004666666666666708,0.0026136404592078666,0.004666666666666708
42,1,42,3,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.024666666666666726,0.02754380122295519,0.024666666666666615
42,1,42,3,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.010333333333333306,-0.005788216305292138,-0.010333333333333306
42,1,42,3,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.21399999999999997,0.21683085512292588,0.21399999999999997
42,1,42,3,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.19766666666666666,-0.20257767189575138,-0.19766666666666666
42,1,42,4,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.07966666666666666,-0.07806540942396334,-0.07966666666666655
42,1,42,4,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.006333333333333302,0.00729611787518214,0.006333333333333413
42,1,42,4,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.06133333333333335,-0.07444520744793226,-0.06133333333333324
42,1,42,4,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.17700000000000005,-0.17848372097318155,-0.17700000000000005
42,1,42,4,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.19700000000000006,0.19802023030555294,0.19700000000000006
42,1,42,4,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.19166666666666665,-0.19870316266848342,-0.19166666666666665
42,2,43,0,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.014333333333333309,-0.010215832988096585,-0.01433333333333342
42,2,43,0,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.028000000000000025,0.03308021079733303,0.027999999999999914
42,2,43,0,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.021333333333333315,0.014357501534059791,0.021333333333333426
42,2,43,0,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.033666666666666734,-0.03465671099295908,-0.03366666666666662
42,2,43,0,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.13766666666666671,0.140813571797197,0.1376666666666665
42,2,43,0,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.14933333333333332,-0.15480742708734607,-0.14933333333333343
42,2,43,1,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.04733333333333334,-0.04979531559391914,-0.04733333333333345
42,2,43,1,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.003666666666666707,-0.0030726497113363616,-0.003666666666666818
42,2,43,1,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.041999999999999926,-0.05217407800433671,-0.04200000000000015
42,2,43,1,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,0.009666666666666712,0.012380792308600563,0.009666666666666601
42,2,43,1,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.16166666666666663,0.16619758999782797,0.16166666666666663
42,2,43,1,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.06400000000000006,-0.06317606595276981,-0.06400000000000006
42,2,43,2,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.015000000000000013,0.0004596170942482436,-0.015000000000000124
42,2,43,2,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.0016666666666667052,-0.0013794048163181527,-0.0016666666666668162
42,2,43,2,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.06600000000000006,0.0782463513070778,0.06599999999999995
42,2,43,2,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,0.09933333333333338,0.1159506776300897,0.0993333333333335
42,2,43,2,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.062000000000000055,0.06213670234350488,0.061999999999999944
42,2,43,2,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.133,-0.1397311284350231,-0.133
42,2,43,3,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.010666666666666713,-0.010178061234818903,-0.010666666666666602
42,2,43,3,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.005333333333333412,-0.006439336286143127,-0.00533333333333319
42,2,43,3,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.007000000000000006,0.007873288774525644,0.007000000000000006
42,2,43,3,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.023666666666666725,-0.02777543052631437,-0.023666666666666503
42,2,43,3,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.16133333333333333,0.166909437475388,0.16133333333333333
42,2,43,3,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.10199999999999998,-0.10245925236993458,-0.10199999999999998
42,2,43,4,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.04400000000000004,-0.05745364822813037,-0.04400000000000015
42,2,43,4,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.016000000000000014,-0.016523085598037168,-0.016000000000000014
42,2,43,4,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.08433333333333337,-0.1136188637020129,-0.08433333333333337
42,2,43,4,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.024333333333333318,-0.028651879856377516,-0.024333333333333318
42,2,43,4,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.15866666666666673,0.16620989679255693,0.1586666666666665
42,2,43,4,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.10633333333333328,-0.11149655114987123,-0.1063333333333335
42,3,44,0,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.01766666666666661,-0.020051788458010478,-0.01766666666666661
42,3,44,0,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.020000000000000018,0.020785906880438354,0.020000000000000018
42,3,44,0,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.02966666666666673,-0.052826940357352026,-0.02966666666666662
42,3,44,0,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.010333333333333306,-0.01433978562783711,-0.010333333333333194
42,3,44,0,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.10766666666666658,0.10532764369777714,0.10766666666666658
42,3,44,0,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.040000000000000036,-0.04570560242314037,-0.040000000000000036
42,3,44,1,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.08066666666666666,-0.08133875120840917,-0.08066666666666666
42,3,44,1,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.014333333333333309,-0.01573579228920363,-0.01433333333333342
42,3,44,1,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,-0.00666666666666671,-0.009919743400347514,-0.00666666666666671
42,3,44,1,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.020333333333333425,-0.032770171730868936,-0.020333333333333203
42,3,44,1,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.1296666666666667,0.13005387070960406,0.1296666666666666
42,3,44,1,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.06733333333333336,-0.07417033177377541,-0.06733333333333336
