task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_non_tops,cross_pooled,coarse,conv1,5,10,1,0.8757142857142857,0.0,0.7944123088490208,0.0,0.8708333333333333,0.0
coat_vs_non_tops,cross_pooled,coarse,conv1,10,20,1,0.913,0.0,0.8480271929724181,0.0,0.9105000000000001,0.0
coat_vs_non_tops,cross_pooled,coarse,conv1,30,60,1,0.9275714285714286,0.0,0.8732323928848547,0.0,0.9390000000000001,0.0
coat_vs_non_tops,cross_pooled,coarse,conv1,100,200,1,0.957,0.0,0.9197536287869899,0.0,0.9603333333333333,0.0
coat_vs_non_tops,cross_pooled,coarse,conv2,5,10,1,0.9311428571428572,0.0,0.8743555976405963,0.0,0.9206666666666667,0.0
coat_vs_non_tops,cross_pooled,coarse,conv2,10,20,1,0.9478571428571428,0.0,0.8966619212041285,0.0,0.90875,0.0
coat_vs_non_tops,cross_pooled,coarse,conv2,30,60,1,0.9451428571428572,0.0,0.9001812037938867,0.0,0.9509166666666666,0.0
coat_vs_non_tops,cross_pooled,coarse,conv2,100,200,1,0.9542857142857143,0.0,0.9154540359827623,0.0,0.96,0.0
coat_vs_non_tops,cross_pooled,coarse,fc,5,10,1,0.9678571428571429,0.0,0.934619954512923,0.0,0.93625,0.0
coat_vs_non_tops,cross_pooled,coarse,fc,10,20,1,0.9481428571428572,0.0,0.9056071051214776,0.0,0.9568333333333333,0.0
coat_vs_non_tops,cross_pooled,coarse,fc,30,60,1,0.9758571428571429,0.0,0.9529008591751216,0.0,0.9742500000000001,0.0
coat_vs_non_tops,cross_pooled,coarse,fc,100,200,1,0.9732857142857143,0.0,0.9486017617776864,0.0,0.9764999999999999,0.0
coat_vs_non_tops,cross_pooled,constant,constant,5,10,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
coat_vs_non_tops,cross_pooled,constant,constant,10,20,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
coat_vs_non_tops,cross_pooled,constant,constant,30,60,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
coat_vs_non_tops,cross_pooled,constant,constant,100,200,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
coat_vs_non_tops,cross_pooled,fine,conv1,5,10,1,0.8495714285714285,0.0,0.7711906384284066,0.0,0.881,0.0
coat_vs_non_tops,cross_pooled,fine,conv1,10,20,1,0.9094285714285715,0.0,0.8394188452948563,0.0,0.8938333333333333,0.0
coat_vs_non_tops,cross_pooled,fine,conv1,30,60,1,0.9144285714285715,0.0,0.8515855971131222,0.0,0.918,0.0
