task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
coat_vs_non_tops,cross_pooled,constant,constant,constant,10,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,20,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,30,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,50,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,80,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,110,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,150,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,constant,constant,constant,200,0,0,42,10,5,50,0.857142857142857,1.1214946133455537e-16,0.4615384615384615,5.607473066727768e-17,0.5,0.0,
coat_vs_non_tops,cross_pooled,pixels,pixels,pixels,10,784,32,42,10,5,50,0.7704142857142857,0.09674070957786758,0.693445872411113,0.08323582449467022,0.8235916666666667,0.05182940753884483,0.01
coat_vs_non_tops,cross_pooled,pixels,pixels,pixels,20,784,32,42,10,5,50,0.8449599999999999,0.041846062076221255,0.7667187686289839,0.04535219454718941,0.8713766666666668,0.026905611238174337,0.1
