task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,10,3136,32,42,10,5,50,0.011865714285714287,0.0759126419280618,0.004677540164011551,0.07813985862837353,-0.014328333333333323,0.06007718110821525
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,20,3136,32,42,10,5,50,-0.008271428571428572,0.037709727284372184,-0.013346887725169987,0.04563328334527925,-0.015108333333333312,0.03098126971460743
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,30,3136,32,42,10,5,50,-0.01327142857142858,0.02795804034605556,-0.019255624907364873,0.035319680705880145,-0.01629999999999997,0.02317464258531111
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,50,3136,32,42,10,5,50,-0.010508571428571431,0.023405559344877105,-0.016481356040935858,0.03002032394530413,-0.015163333333333327,0.017884217253136058
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,80,3136,32,42,10,5,50,-0.018485714285714286,0.02057899925479928,-0.02669578284974262,0.027637477704609458,-0.017791666666666647,0.01290435830066442
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,110,3136,32,42,10,5,50,-0.015042857142857144,0.017381172702518818,-0.022600071733667074,0.02404194061562698,-0.016358333333333325,0.012434149108763212
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,150,3136,32,42,10,5,50,-0.015937142857142848,0.014847388589861829,-0.023879443872440703,0.020763092715422295,-0.01615499999999997,0.011270106874245513
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv1,200,3136,32,42,10,5,50,-0.01713428571428571,0.013084208412723659,-0.025426384140592395,0.017845777086327196,-0.016703333333333327,0.008882566558271977
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,10,1568,32,42,10,5,50,0.06792571428571428,0.06765020919281578,0.07159208498587198,0.06839046944911281,0.048256666666666656,0.04497846499076163
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,20,1568,32,42,10,5,50,0.03155142857142856,0.03856483055542226,0.03949851380842033,0.04472910569230105,0.024196666666666655,0.023688452653469073
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,30,1568,32,42,10,5,50,0.03183714285714287,0.03135575994612872,0.04049430637487186,0.039275543391935834,0.02296333333333335,0.024596149432246972
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,50,1568,32,42,10,5,50,0.029877142857142856,0.028858037829264646,0.039265176212197515,0.03628564565007101,0.019570000000000004,0.018651273414970897
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,80,1568,32,42,10,5,50,0.01768285714285715,0.02015577176295333,0.024523711783761216,0.027049453605844397,0.011165000000000005,0.01401525215912651
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,110,1568,32,42,10,5,50,0.01107714285714285,0.01672660854953407,0.015906094150275128,0.023137049493416266,0.0076366666666666805,0.009654193219115634
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,150,1568,32,42,10,5,50,0.010745714285714289,0.015691058635930257,0.015732449486837552,0.022168253036371058,0.007793333333333334,0.00992443444700857
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,conv2,200,1568,32,42,10,5,50,0.010042857142857136,0.013513756546324786,0.014681136782252843,0.019145522752637163,0.006983333333333324,0.009630812583598963
