source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,1,42,0,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.01974999999999999,-0.017385290372646522,-0.019750000000000045
42,1,42,0,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.0675,-0.06991237420789015,-0.06750000000000006
42,1,42,0,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.05025000000000002,-0.06208319661506634,-0.05024999999999996
42,1,42,0,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.08625,-0.09316982575941579,-0.08624999999999988
42,1,42,0,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.2280000000000001,0.219249268648678,0.22799999999999998
42,1,42,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.01599999999999996,-0.035676807499688545,-0.015999999999999903
42,1,42,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.030999999999999972,-0.04004604351201052,-0.030999999999999972
42,1,42,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.05275000000000002,-0.044555684085425984,-0.052749999999999964
42,1,42,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.017749999999999988,0.003947800469428997,-0.017749999999999988
42,1,42,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.04375000000000001,-0.02705875116592049,-0.04375000000000001
42,1,42,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.32475,0.3249833590514351,0.32475
42,1,42,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.04749999999999999,0.0358092165377491,0.04749999999999999
42,1,42,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.04475000000000001,-0.051411076225323205,-0.04475000000000001
42,1,42,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.09675,-0.11297670340219246,-0.09675000000000006
42,1,42,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.02949999999999997,0.02890705058915377,0.02949999999999997
42,1,42,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.03649999999999998,0.039290382035771954,0.03649999999999998
42,1,42,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.244,0.2452123416119376,0.244
42,1,42,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.02949999999999997,0.013727516176296528,0.02949999999999997
42,1,42,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.018500000000000016,-0.02418843842474505,-0.018500000000000016
42,1,42,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.01425000000000004,-0.013067331173725938,-0.014249999999999985
42,1,42,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.0040000000000000036,0.0033450422720537887,-0.003999999999999948
42,1,42,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.03025,-0.021558041296879216,-0.03025
