target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,pixels,pixels,pixels,10,784,32,10,5,50,0.90204,0.043345649217914006,0.8740883371520168,0.06471527622400029,0.9027859999999999,0.04217647090451243,0.8754333812037691,0.06265670346446724,0.8175663579380315,0.09935558595992286,1.0,0.91
footwear,pixels,pixels,pixels,20,784,32,10,5,50,0.9367099999999999,0.029479340742497025,0.9226822160411764,0.037499555010257604,0.93672,0.027837553551903628,0.922764836222081,0.03558769022662921,0.8900068821040701,0.05231082229413208,1.0,0.8740000000000001
footwear,pixels,pixels,pixels,30,784,32,10,5,50,0.94733,0.020730439514129444,0.9364843815904905,0.0253188123760548,0.9466160000000001,0.0189771222093061,0.9357159601382375,0.02313977764922848,0.9092826910969174,0.033021330514277816,1.0,0.802
footwear,pixels,pixels,pixels,50,784,32,10,5,50,0.95852,0.015050920373240722,0.9499314479060128,0.018551021340331788,0.957818,0.014524865238758043,0.949222783604598,0.01787153463625292,0.9283424892414547,0.02562805716460532,1.0,0.8740000000000001
footwear,pixels,pixels,pixels,80,784,32,10,5,50,0.96536,0.012824975633505126,0.9584311211657496,0.01569880062476268,0.9636819999999999,0.012630505508005417,0.9565041932039516,0.015329445134909523,0.9388438815773859,0.02177765762389171,1.0,0.73
footwear,pixels,pixels,pixels,110,784,32,10,5,50,0.96881,0.01084486617939474,0.9626714166553577,0.01317230228602884,0.9669160000000001,0.01066647159685576,0.9604498852936575,0.01289824265022727,0.944464433877387,0.018275212393494562,1.0,0.6759999999999999
footwear,pixels,pixels,pixels,150,784,32,10,5,50,0.97214,0.009194630198642908,0.96682507180096,0.010910579793449818,0.9700019999999999,0.009168724345428272,0.9642884449296407,0.010895976401432713,0.9500073562126355,0.015239903685107714,1.0,0.5860000000000001
footwear,pixels,pixels,pixels,200,784,32,10,5,50,0.9737299999999999,0.007763211254345196,0.9687278544345065,0.009202262584951272,0.9716039999999999,0.00816595620955234,0.9662202002609255,0.009675426618320338,0.9527366008212649,0.013501514854438429,0.1,0.514
footwear,random_conv1,random,conv1,10,3136,32,10,5,50,0.92647,0.029605124004924196,0.9080012511417658,0.04071860333494379,0.926738,0.02900377800865794,0.9083920670084547,0.04002685401934329,0.8675687755909028,0.06136052657326189,1.0,0.9279999999999999
footwear,random_conv1,random,conv1,20,3136,32,10,5,50,0.95011,0.0253152148329975,0.9392058008756191,0.03191380684326992,0.950096,0.023329371519828904,0.9392157536765678,0.029618702125297856,0.9135370065849721,0.04332855573783616,1.0,0.8739999999999999
