target,repeat,sampling_seed,projection_seed,sample_size,examples_per_original_class,training_class_counts,condition,family,layer,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_accuracy,test_macro_f1,test_target_f1,true_negative,false_positive,false_negative,true_positive
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",pixels,pixels,pixels,784,32,1.0,0.9105,0.8870690604240463,10000,0.9066,0.8822966974116766,0.8288123167155426,6805,195,739,2261
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_conv1,random,conv1,3136,32,1.0,0.9365,0.9230170292999005,10000,0.933,0.9193180093426374,0.8860931655899354,6724,276,394,2606
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_conv2,random,conv2,1568,32,1.0,0.9525,0.9419988833258695,10000,0.9491,0.9382044562988289,0.9122565074987071,6845,155,354,2646
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_fc,random,fc,128,32,1.0,0.956,0.947962925950061,10000,0.96,0.9530816004804443,0.935064935064935,6720,280,120,2880
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_conv1,trained,conv1,3136,32,1.0,0.936,0.924097231446517,10000,0.9365,0.9242092135552931,0.8936882638540097,6696,304,331,2669
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_conv2,trained,conv2,1568,32,1.0,0.937,0.924638894703789,10000,0.9399,0.9281287816473579,0.8990424995800437,6723,277,324,2676
footwear,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_fc,trained,fc,128,32,1.0,0.999,0.9988106551030627,10000,0.9974,0.9969088761905522,0.9956767542401064,6980,20,6,2994
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",pixels,pixels,pixels,784,32,1.0,0.813,0.8089270898471825,10000,0.8065,0.8023968072470925,0.7739221871713985,4753,1247,688,3312
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_conv1,random,conv1,3136,32,1.0,0.8605,0.8532341743435977,10000,0.8561,0.8491054190123879,0.8166178157257551,5357,643,796,3204
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_conv2,random,conv2,1568,32,1.0,0.815,0.8073717277923029,10000,0.8185,0.8115606043055194,0.7753990842717485,5052,948,867,3133
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",random_fc,random,fc,128,32,1.0,0.8055,0.8015832028194568,10000,0.8153,0.8116664410980574,0.7855069097665777,4771,1229,618,3382
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_conv1,trained,conv1,3136,32,1.0,0.8635,0.8590076670391171,10000,0.8581,0.8542998112520283,0.8307692307692308,5098,902,517,3483
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_conv2,trained,conv2,1568,32,1.0,0.8905,0.8854230674756112,10000,0.8876,0.8825579987949865,0.8582240161453077,5474,526,598,3402
tops,1,42,0,10,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",trained_fc,trained,fc,128,32,0.1,0.931,0.9272860629513007,10000,0.9345,0.9311526233346884,0.9159717767799872,5775,225,430,3570
footwear,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",pixels,pixels,pixels,784,32,1.0,0.9375,0.9247593276613905,10000,0.9371,0.9246487978099035,0.8940185341196293,6718,282,347,2653
footwear,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",random_conv1,random,conv1,3136,32,0.1,0.9625,0.9546294725131734,10000,0.9624,0.9546586850517016,0.9359236537150648,6878,122,254,2746
footwear,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",random_conv2,random,conv2,1568,32,1.0,0.95,0.9411924524041113,10000,0.951,0.9423265579515222,0.9199607971251225,6694,306,184,2816
footwear,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",random_fc,random,fc,128,32,1.0,0.966,0.9595622735041311,10000,0.9712,0.9659583417097877,0.9526003949967083,6818,182,106,2894
